Complexity,Loss,Equation
1,0.0040100557,"2.0891132"
5,0.003792123,"((x1 * -0.051448412) + 2.1401865)"
6,0.0030265155,"((log(x0) * -0.009308359) + 2.0856366)"
7,0.0030122162,"(((x0 + -2.0510354) * x0) + 3.0550072)"
8,0.0019870144,"((x0 + 1.0432765) + (log(x0) * -0.9939069))"
13,0.001948737,"((log(x0) * (log(x0) * ((x1 * -0.27664924) + 0.6920354))) + 2.0482366)"
14,0.0018980048,"(((log(x0) * ((-0.21157761 * log(x1)) + 0.37054822)) * log(x0)) + 2.0488615)"
15,0.0013526053,"(((log(x0) * ((log(x1) * log(x1)) + 0.3125957)) * log(x0)) + 2.0480819)"
17,0.0011426226,"(((log(x0) * (((log(x1) * 1.8469527) * log(x1)) + 0.26765266)) * log(x0)) + 2.0488615)"
18,0.0011202848,"(((log(x0) * ((log(x1) * (log(x1) + log(x1))) + 0.22705938)) * log(x0)) + 2.0480819)"
19,0.0008949468,"(((log(x0) * (((log(x1) * 2.171052) * (log(x1) * x0)) + 0.26765266)) * log(x0)) + 2.0488615)"
